analytic,cls_EulerSolver,cls_HeunSolver
64.4,25.1996,25.1944,25.2009
64.5,25.1976,25.1925,25.1989
64.6,25.1956,25.1906,25.1969
64.7,25.1937,25.1887,25.1949
64.8,25.1917,25.1868,25.193
64.9,25.1898,25.1849,25.1911
65,25.1879,25.1831,25.1892
65.1,25.1861,25.1812,25.1873
65.2,25.1842,25.1794,25.1854
65.3,25.1824,25.1776,25.1836
65.4,25.1806,25.1759,25.1818
65.5,25.1788,25.1741,25.18
65.6,25.177,25.1724,25.1782
65.7,25.1752,25.1707,25.1764
65.8,25.1735,25.1689,25.1746
65.9,25.1718,25.1673,25.1729
66,25.17,25.1656,25.1712
66.1,25.1684,25.1639,25.1695
66.2,25.1667,25.1623,25.1678
66.3,25.165,25.1607,25.1661
66.4,25.1634,25.1591,25.1645
66.5,25.1618,25.1575,25.1628
66.6,25.1601,25.1559,25.1612
66.7,25.1585,25.1544,25.1596
66.8,25.157,25.1528,25.158
66.9,25.1554,25.1513,25.1565
67,25.1539,25.1498,25.1549
67.1,25.1523,25.1483,25.1534
67.2,25.1508,25.1468,25.1519
67.3,25.1493,25.1453,25.1503
67.4,25.1478,25.1439,25.1488
67.5,25.1464,25.1424,25.1474
67.6,25.1449,25.141,25.1459
67.7,25.1435,25.1396,25.1445
67.8,25.142,25.1382,25.143
67.9,25.1406,25.1368,25.1416
68,25.1392,25.1355,25.1402
68.1,25.1378,25.1341,25.1388
68.2,25.1365,25.1328,25.1374
68.3,25.1351,25.1314,25.136
68.4,25.1338,25.1301,25.1347
68.5,25.1324,25.1288,25.1334
68.6,25.1311,25.1275,25.132
68.7,25.1298,25.1263,25.1307
68.8,25.1285,25.125,25.1294
68.9,25.1272,25.1238,25.1281
69,25.126,25.1225,25.1269
69.1,25.1247,25.1213,25.1256
69.2,25.1235,25.1201,25.1243
69.3,25.1223,25.1189,25.1231
69.4,25.121,25.1177,25.1219
69.5,25.1198,25.1165,25.1207
69.6,25.1186,25.1154,25.1195
69.7,25.1175,25.1142,25.1183
69.8,25.1163,25.1131,25.1171
69.9,25.1151,25.1119,25.116
70,25.114,25.1108,25.1148
70.1,25.1129,25.1097,25.1137
70.2,25.1117,25.1086,25.1125
70.3,25.1106,25.1075,25.1114
70.4,25.1095,25.1065,25.1103
70.5,25.1084,25.1054,25.1092
70.6,25.1073,25.1043,25.1081
70.7,25.1063,25.1033,25.107
70.8,25.1052,25.1023,25.106
70.9,25.1042,25.1012,25.1049
71,25.1031,25.1002,25.1039
71.1,25.1021,25.0992,25.1029
71.2,25.1011,25.0982,25.1018
71.3,25.1001,25.0973,25.1008
71.4,25.0991,25.0963,25.0998
71.5,25.0981,25.0953,25.0988
71.6,25.0971,25.0944,25.0978
71.7,25.0962,25.0934,25.0969
71.8,25.0952,25.0925,25.0959
71.9,25.0943,25.0916,25.095
72,25.0933,25.0907,25.094
72.1,25.0924,25.0898,25.0931
72.2,25.0915,25.0889,25.0921
72.3,25.0906,25.088,25.0912
72.4,25.0897,25.0871,25.0903
72.5,25.0888,25.0862,25.0894
72.6,25.0879,25.0854,25.0885
72.7,25.087,25.0845,25.0877
72.8,25.0861,25.0837,25.0868
72.9,25.0853,25.0828,25.0859
73,25.0844,25.082,25.0851
73.1,25.0836,25.0812,25.0842
73.2,25.0828,25.0804,25.0834
73.3,25.0819,25.0796,25.0826
73.4,25.0811,25.0788,25.0817
73.5,25.0803,25.078,25.0809
73.6,25.0795,25.0772,25.0801
73.7,25.0787,25.0764,25.0793
73.8,25.078,25.0757,25.0785
73.9,25.0772,25.0749,25.0778
74,25.0764,25.0742,25.077
74.1,25.0756,25.0734,25.0762
74.2,25.0749,25.0727,25.0755
74.3,25.0741,25.072,25.0747
74.4,25.0734,25.0712,25.074
74.5,25.0727,25.0705,25.0732
74.6,25.072,25.0698,25.0725
74.7,25.0712,25.0691,25.0718
74.8,25.0705,25.0684,25.0711
74.9,25.0698,25.0678,25.0704
75,25.0691,25.0671,25.0697
75.1,25.0684,25.0664,25.069
75.2,25.0678,25.0657,25.0683
75.3,25.0671,25.0651,25.0676
75.4,25.0664,25.0644,25.0669
75.5,25.0658,25.0638,25.0663
75.6,25.0651,25.0632,25.0656
